Column,farm.x,sampling.x,test,rep_1,rep_2,total,sample,f,sampling.y,sd_meantempi,sd_meanwindspdi,sd_minhumidity,sd_maxhumidity,sd_humidity,sd_precipi,mean_meantempi,mean_meanwindspdi,mean_minhumidity,mean_maxhumidity,mean_humidity,mean_precipi,mean_precipi_yesno,farmnumber,farm.y,date,time,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,mean_hygiene,stall,cleanliness,ventilation,standing_water,month,sampling,A2_SURVEY_DATE,A3_ARRIVAL.DEPARTURE_TIME,A4_SURVEY_TECHNICIAN,A5_FARM_PERSONNEL_INTERVIEWED,A6_NUMBER_MILKING_COWS,A7_.AV_ANNUAL_PRODUCTION_COW,A8_OFTEN_EACH_COW_MILKED_PER_DAY,B2_AV_BODY_CONDITION,B3_TAILS_DOCKED,tails_docked_edited,B4_UDDERS_CLIPPED.FLAMED,udders_flamed_edited,B5_FEED_TYPE_LACTATING_COWS,C1_GLOVES_DURING_MILKING,C2_AUTO.TEAT_SCRUBBER,C3_PRE.DIP_TYPE,pre_dip_chemical,pre_dip_application,C4_POST.DIP_TYPE,post_dip_chemical,post_dip_application,C5_MASTITIC_COWS_MILKED_LAST.SEPARATELY,mastitic_milked_separately,C6_DO.YOU_STRIP_COWS,D1_HOUSING_TYPE,D3_BEDDING,D5_.FREESTALL.HOUSING._HOW_OFTEN_ALLEYS_SCRAPED.DAY,D6_WATER_SOURCES_USED_AND_WHERE,D7_OFTEN_DAY.WEEK_DRY_LOTS_RAKED,D8_OFTEN_DAY.WEEK_DRY_LOTS_DUG_OUT,D10_VISIBLE_DUST_IN_THE_LAST,D11_RAINED_IN_THE_LAST,E1_PARLOR_DECK_SPRAYED.CLEANED_BETWEEN_MILKING_GROUPS,E2_HOLDING_AREA_CLEANED_DURING_MILKING,holding_area_cleaned_during_milking_edited,E3_COWS_EXPOSED_TO_WATER_PRIOR_TO_MILKING,E4_UDDERS_SPRAYED_PRIOR_TO_MILKING,E5_WATER_USED_TO_COOL_COWS,E6_WATER_USED_TO_CLEAN_COWS,F1_BULK_TANK_CAPACITY,G1_TYPE_OF_TOWEL,type_of_towel_edited,G2_HOW_OFTEN_FILTER_SOCK_CHANGED,X
799,4,8,HHR,0,1,0.5,8-Apr,4,8,1.944241119,1.856090927,13.1953646,10.32308948,13.54716358,0.06511867,76.34117647,1.858823529,57.64705882,91.23529412,76.76923077,0.018235294,TRUE,4,Farm 04,10/13/2016,6:12pm,2,2,1,1,1,2,1,1,2,2,1.5,Free,Good,Good,not_applicable,10,8,3/19/2016,3:00/no answer,Bailee,Nico DeBoer,1550,no answer,2 times,Normal,I; Clipswitch,intermediate,Y; Flamed,yes,alfalfa; corn silage; corn; DDG; flaxseed; soy bean mill,Y,N,Iodine; Other: Foam application,Iodine,foam,2-Bromo 2-Nitropropane; Other: Foam application,2-Bromo 2-Nitropropane,foam,Y; Last,Y,No answer,Freestall,Sand,2 times/day or more often,Well water,N/A,N/A,0-24h,N/A,Y; Manually,N,N,N,N,N,N,"20,000 gallons; 3 bulk tanks",Laundered; No,Laundered,"Every group, every 2-3 hours",NA
800,6,8,HHR,0,0,0,8-Jun,6,8,1.486574842,2.728578908,9.334523734,9.717436464,10.12713304,0.002182179,66.52380952,3.128571429,60.33333333,86.85714286,74.05882353,0.00047619,TRUE,6,Farm 06,10/13/2016,11:20pm,2,2,2,2,2,3,3,2,3,2,2.3,Free,Good,Good,not_applicable,10,8,3/19/2016,9:45/no answer,Bailee,Heath Hogan,251,82 lbs/day,2 times,Normal,N,no,N,no,green chop; corn silage; alfalfa; coastal; wet cotton seed; hull; corn; hominy; brewer's grain; canola; mineral package; ammoniated gas hay,I,N,Peroxide; Dip application,Peroxide,dip,Iodine; Dip application,Iodine,dip,Y; Last,Y,No answer,Freestall,Sand,1 time/day; Flushed 3 times,Well water,N/A,N/A,0-24h,N/A,I; Between 3 daily milkings; Manually,N,N,N,N,N,N,6000 gallons; 2 bulk tanks,Laundered; Yes,Laundered,"Once a milking, every 4 hours",NA
801,7,8,HHR,8,7,7.5,8-Jul,7,8,1.486574842,2.728578908,9.334523734,9.717436464,10.12713304,0.002182179,66.52380952,3.128571429,60.33333333,86.85714286,74.05882353,0.00047619,TRUE,7,Farm 07,10/13/2016,11:48pm,4,4,4,4,4,4,4,4,4,4,4,Free,Good,Good,not_applicable,10,8,3/19/2016,9:00/no answer,Bailee,Ronnie West,380,57 lbs/day,2 times,Normal,N,no,N,no,soy bean mill; cotton seed hull; corn; corn silage; wheat silage; brewers grain; mineral concentrate,I,N,Iodine; Spray application,Iodine,spray,Iodine; Spray application,Iodine,spray,N; get rid of them,N,No answer,Freestall,Sand,1 time/day,Well water,N/A,N/A,0-24h,N/A,Y; Manually,N,N,N,N,N,N,2750 lbs; 1 bulk tank,Paper; No,Paper,Every 6 hours,NA
802,9,8,HHR,0,1,0.5,8-Sep,9,8,0.689029684,6.966757803,8.802056037,8.24043457,11.35781669,0,78.71428571,8.928571429,13.14285714,90.28571429,47,0,FALSE,9,Farm 09,10/15/2016,3:50pm,4,3,3,3,4,4,3,3,4,4,3.5,Free,Good,Good,not_applicable,10,8,3/16/2016,9:15 am/10:06 am,Bailee,Arjan Van Dasselaar,1280,"22,000 lbs",2 times,Normal,N,no,N,no,alfalfa; canola; distillers corn; soy hull pallets; corn silage,Y,N,Prep & wash lactic acid; Ultimate P.D. concentration; Cynergy hepatonic acid; Dip application,Prep & wash lactic acid\Ultimate P.D. concentration\Cynergy hepatonic acid,dip,Aztec Gold lactic acid; Sodium Chlorite; Dip application,Aztec Gold lactic acid\Sodium Chlorite,dip,Y,Y,N,Freestall; Dry lot (exercise yard),Sand,2 times/day or more often,Well water,3,1,0-24h,>72h,Y; Manually,N,N,N,N,N,N,"100,000 lbs; 2 bulk trucks",Laundered; no answer,Laundered,Every 3 hours; Halfway through milking,NA
803,10,8,HHR,0,0,0,8-Oct,10,8,4.203807798,3.692966287,21,0.447213595,NA,0,64.38,4.74,63,99.8,99,0,FALSE,10,Farm 10,10/14/2016,3:30pm,3,3,3,4,3,2,2,2,3,4,2.9,non-Free,not_applicable,not_applicable,Yes,10,8,3/18/2016,10:00 am/no answer,Bailee,Tom Ferria,1800,60 lbs/day,intermediate,Normal,N,no,Y; Flamed,yes,corn silage; cotton seed; corn; soy bean mill; corn gluten; alfalfa,Y,Y,Chlorine dioxide; Spray application,Chlorine dioxide,spray,Remain Gold Bronopol; Dip application,Remain Gold Bronopol,dip,Y; Separately,Y,Y,Dry Lot (open),N/A,N/A,Well water,7,6,0-24h,No answer,Y; Manually,Y,Y,N,N,N,N,"12,000 gallons; 2 bulk tanks",Paper; No,Paper,"Every pen, 45 minutes",NA
804,11,8,HHR,0,0,0,8-Nov,11,8,4.203807798,3.692966287,21,0.447213595,NA,0,64.38,4.74,63,99.8,99,0,FALSE,11,Farm 11,10/14/2016,4:05pm,4,4,4,4,4,4,4,4,4,4,4,non-Free,not_applicable,not_applicable,Yes,10,8,3/18/2016,11:45/no answer,Bailee,Tom Ferria,1800,60 lbs/day,intermediate,Normal,N,no,Y; Flamed,yes,corn silage; cotton seed; corn; soy bean mill; corn gluten; alfalfa,Y,N,Chlorine dioxide; Spray application,Chlorine dioxide,spray,Iodine; Other: Foam application,Iodine,foam,Y; Separately,Y,Y,Dry Lot (open),N/A,N/A,Well water,7,6,0-24h,No answer,Y; Manually,Y,Y,N,N,N,N,"12,000 gallons; 2 bulk tanks",Paper; No,Paper,"Every pen, 45 minutes",NA
805,12,8,HHR,0,0,0,8-Dec,12,8,1.480259974,1.922093766,8.401127744,4.449850513,8.729806631,0.531935669,71.23157895,2.6,51.36842105,95.36842105,76.26666667,0.69,TRUE,12,Farm 12,10/14/2016,10:05am,4,4,4,4,4,4,4,4,4,3,3.9,Free,Good,Good,not_applicable,10,8,3/19/2016,6:15/no answer,Bailee,Misael Tiscareno,3600,73 lbs/day,2 times,Normal,I,intermediate,Y; Flamed,yes,corn silage; corn; alfalfa; cotton seed; protein mix; wheat silage,Y,Y,Chlorine dioxide; Dip application,Chlorine dioxide,dip,Iodine; Dip application,Iodine,dip,Y,Y,No answer,Freestall (some open lots),Sand (fresh and recycled); Dried; Never discarded,2 times/day or more often; flushed 6 times/day,Well water,N/A,N/A,0-24h,N/A,Y; Manually and automatically,Y,Y,N,N,N,N,"18,000 gallons; 3 bulk tanks",Laundered; No,Laundered,"Every 800 cows, 2.5 hours",NA
806,14,8,HHR,3,3,3,14-8,14,8,1.30184684,1.861113803,8.468428763,4.006488244,8.96051615,0.475271852,70.96363636,2.522727273,53,95.36363636,77.05555556,0.575,TRUE,14,Farm 14,10/14/2016,9:00am,3,3,4,4,3,4,4,4,3,3,3.5,Free,Good,Good,not_applicable,10,8,3/19/2016,8:00/no answer,Bailee,Pete Schouten,720,76-80 lbs/day,3 times,Normal,I,intermediate,N,no,corn; beet pulp; canola; cottonseed; corn silage; alfalfa; coastal; green chop,Y,N,Iodine glycerine; Other: Foam application,Iodine glycerine,foam,Iodine glycerine; Other: Foam application,Iodine glycerine,foam,Y,Y,No answer,Freestall (95%),Sand,1 time/day,Well water,N/A,N/A,0-24h,N/A,Y; Manually,Y,Y,N,N,N,N,6000 gallons; 2 bulk tanks,Laundered; Yes,Laundered,"Every shift, every 6 hours",NA
807,15,8,HHR,0,0,0,15-8,15,8,1.36469079,3.868985347,12.09289441,2.627691364,1.732050808,0,66.77142857,13.12857143,31.28571429,93.71428571,70,0,FALSE,15,Farm 15,10/14/2016,10:30pm,3,3,3,2,2,3,2,4,2,3,2.7,non-Free,not_applicable,not_applicable,No,10,8,3/16/2016,1:15 pm/1:48 pm,Bailee,Jason Veldi,2500,70-72 lbs/day,2 times,Normal,N,no,N,no,corn silage; alfalfa; corn gluten; gluten corn; basic mineral; sorghum silage,Y,N,Iodine; Spray application,Iodine,spray,Iodine; Dip application,Iodine,dip,Y; Last,Y,Y,Dry Lot,N/A,N/A,Well water,3.5,3,0-24h,2 weeks ago,Y; Automatically,Y,Y,N,N,N,N,"112,000 lbs; 2 bulk tanks",Laundered; No,Laundered,"After every pen, 2 filters 350 cows, 1 hr 20 mins",NA
808,17,8,HHR,0,0,0,17-8,17,8,0.855569985,4.479955357,12.17784874,4.795831523,0.707106781,0,65.38,10.9,37.6,95,81.5,0,FALSE,17,Farm 17,10/14/2016,5:52pm,3,3,4,4,4,4,3,3,4,4,3.6,non-Free,not_applicable,not_applicable,No,10,8,3/16/2016,4:30 pm/no answer,Bailee,Matthew Beckerink,1700,85 lbs/day,3 times,Normal,N,no,N,no,corn silage; sorghum silage; triticale silage; sugar beets; corn; DDG; canola; cotton seed; corn gluten,Y,Y,Chlorine dioxide; Dip application,Chlorine dioxide,dip,Iodine; Dip application,Iodine,dip,Y,Y,No answer,Dry Lot,N/A,N/A,Well water,6,6,0-24h,2 weeks ago,Y; Automatically,Y,Y,N,N,N,N,"12,000 gallons; 2 bulk tanks",None,None,"Every group, every 1 hour",NA
809,21,8,HHR,0,2,1,21-8,21,8,1.731535557,3.58859947,9.87124807,3.821598538,6.132907476,0.006126864,66.43076923,9.573076923,46.80769231,92.26923077,75.77272727,0.001538462,TRUE,21,Farm 21,10/14/2016,9:55pm,3,4,4,4,3,4,4,3,3,4,3.6,Free,Good,Good,not_applicable,10,8,3/15/2016,4:40 pm/no answer,Bailee,Mick Schouten,4000,"22,000 lbs",intermediate,Normal,Y,yes,N,no,TMR corn silage; wheat silage; alfalfa; cotton seed; corn; soy bean mill; corn; gluten,Y,N,Chlorine/water; Dip application,Chlorine/water,dip,Iodine; Dip application,Iodine,dip,Y; Separately,Y,No answer,Freestall (80%); Dry Lot (20%),Sand; From dried basins; No answer,2 times/day or more often,Ogalala aquifer wells,7,1,0-24h,No answer,Y; Automatically,Y,Y,N,N,N,N,"200,000 lbs; 4 bulk tanks",Laundered (not dried); Yes,Laundered,1.5-2 hours,NA
810,22,8,HHR,0,1,0.5,22-8,22,8,0.71663143,4.395245365,12.04788426,5.462683323,11.68807559,0,65.34166667,9.2,39.33333333,92.75,74.11111111,0,FALSE,22,Farm 22,10/14/2016,7:24pm,4,4,3,3,2,2,2,4,3,4,3.1,non-Free,not_applicable,not_applicable,No,10,8,3/16/2016,3:00 pm/no answer,Bailee,Koen Ally,1560,74 lbs/day,2 times,No answer,I; majority,intermediate,I; Flamed,intermediate,corn silage; wheatlage; alfalfa; corn; DDG; canola; cottonseed; molasses w/ mineral package; whey,Y,N,Iodine; Dip application,Iodine,dip,Iodine; Dip application,Iodine,dip,Y; Separately,Y,Y,Dry Lot,N/A,N/A,Well water; aquifer,1,3,0-24h,"""look it up""",I; As neeed,Y,Y,N,N,N,N,"12,000 gallons; 2 bulk tanks",None,None,"""text for answer"" ",NA
811,23,8,HHR,0,0,0,23-8,23,8,0.789936706,5.867793452,14.81553239,8.158839787,22.23360819,0,65.3,9.15,33.5,92.16666667,68.66666667,0,FALSE,23,Farm 23,10/14/2016,6:26pm,4,3,3,4,4,2,2,2,2,3,2.9,non-Free,not_applicable,not_applicable,No,10,8,3/17/2016,10:20 am/ no answer,Bailee,Joe Torres,3400,70 lbs/day,intermediate,Normal,Y,yes,Y; Flamed,yes,corn silage; canola; corn gluten; DDG minerals; corn; cotton seed,Y,N,Iodine; Spray application,Iodine,spray,Iodine; Dip application,Iodine,dip,Y,Y,N,Dry Lot (open),N/A,N/A,Well water,3.5,8,0-24h,N/A; last October,Y; Manually,Y,Y,Y,Y,N,Y; No answer; No answer; No answer,"24,000 gallons; 3 bulk tanks",Laundered; Yes,Laundered,"Every 2 pens, every 2 hours",NA
812,25,8,HHR,1,1,1,25-8,25,8,0.815407192,4.189722876,13.23505446,3.604010112,6.29436634,0,65.24,9.24,28.5,95.9,72.57142857,0,FALSE,25,Farm 25,10/14/2016,7:00pm,4,4,4,4,4,4,4,4,3,3,3.8,non-Free,not_applicable,not_applicable,No,10,8,3/17/2016,1:40 pm/no answer,Bailee,Mondo Vazquez/Jeremy,3400,73-75 lbs/day,2 times,Normal,N,no,Y; Flamed,yes,corn gluten; corn silage; DDG; triticale; soy hulls; minerals,Y,N,Iodine; Dip application,Iodine,dip,Iodine; Dip application,Iodine,dip,Y,Y,Y,Dry Lot (open),N/A,N/A,Well water,7,6,0-24h,N/A,Y; Manually,Y; sprinklers,Y,I,N,N,Y; Sprinklers spray-up; Prior to milking; No drying mechanism,"150,000 lbs; 3 bulk tanks",Laundered; Yes,Laundered,"Every 2 pens, every 1 hr 40 min",NA
813,26,8,HHR,0,0,0,26-8,26,8,0.71663143,4.395245365,12.04788426,5.462683323,11.68807559,0,65.34166667,9.2,39.33333333,92.75,74.11111111,0,FALSE,26,Farm 26,10/14/2016,7:42pm,4,4,4,3,4,4,4,4,3,4,3.8,non-Free,not_applicable,not_applicable,No,10,8,3/16/2016,2:30 pm/ 2:50,Bailee,Carl Bromlow,5000,"22,000 lbs",intermediate,Normal,I; 50/50,intermediate,Y; Flamed,yes,corn silage; triticale; sorghum silage; corn; sweet bran; beet pulp; canola,Y,Y,Express 3; Lactic Acid; LDBSA; Dip application,Express 3\Lactic Acid\LDBSA,dip,Express 3; Lactic Acid; Chore Mate; Dip Application,Express 3\ Lactic Acid\ Chore Mate,dip,Y,Y,Y,Dry Lot,N/A,N/A,Well water,7,3,0-24h,2 weeks ago,Y; Manually,Y,Y,N,N,N,N,"165,000 lbs; 3 bulk tanks",Laundered; No,Laundered,45 min; every pen,NA
814,27,8,HHR,4,2,3,27-8,27,8,0.71663143,4.395245365,12.04788426,5.462683323,11.68807559,0,65.34166667,9.2,39.33333333,92.75,74.11111111,0,FALSE,27,Farm 27,10/14/2016,8:04pm,3,4,3,4,4,4,4,3,4,4,3.7,non-Free,not_applicable,not_applicable,No,10,8,3/17/2016,12:10 pm/ no answer,Bailee,Georgianna Carroll,2349,71.5 lbs/day,3 times,Normal,I,intermediate,Y; Flamed,yes,"corn; corn gluten; canola, cotton seed; DDG; alfalfa; corn silage; wheat silage",Y,N,Iodine; Spray application,Iodine,spray,Iodine; Spray application,Iodine,spray,Y; Separately,Y,Y,Dry Lot,N/A,N/A,Well water,7,6,0-24h,N/A,Y; Manually,Y,Y,N,N,N,N,"108,000 lbs; 2 bulk tanks",Laundered; No,Laundered,45 min; every pen,NA
815,1,8,STSE,0,0,0,8-Jan,1,8,2.902562537,2.400980192,17.16062144,18.19897289,18.56041516,0,72.93888889,2.2,53.38888889,83.44444444,69.21428571,0,FALSE,1,Farm 01,10/13/2016,9:20pm,1,1,1,1,1,1,1,1,1,1,1,non-Free,not_applicable,not_applicable,not_applicable,10,8,3/19/2016,1:20/no answer,Bailee,Scott Optiz,96,66 lbs/day,2 times,Normal,N,no,N,no,burmuda grass silage; canola; distiller screens; beet pulp; hominy; wet brewers grains; mineral mix - blood mill,Y,N,Iodine; Dip application,Iodine,dip,Iodine; Dip application,Iodine,dip,N,N,No answer,Other: pasture,N/A,N/A,Well water,N/A,N/A,0-24h,N/A,Y; Manually,N,N,N,N,N,N,"12,000 gallons; 2 bulk tanks",Laundered; No,Laundered,"Once a milking, every 5 hours",NA
816,2,8,STSE,0,0,0,8-Feb,2,8,2.24679907,2.439246655,5.28863848,4.539389894,3.720119046,0.006215816,73.30833333,3.441666667,57.16666667,86.33333333,75.125,0.0025,TRUE,2,Farm 02,10/13/2016,7:11pm,2,3,2,3,3,2,3,2,2,2,2.4,Free,Good,Good,not_applicable,10,8,3/19/2016,4:00/no answer,Bailee,Auke Plantiga,800,77 lbs/day,2 times,Normal,N,no,N,no,corn silage; rye silage; alfalfa; corn; soy bean mill; corn gluten; hominy; cotten seed,Y,N,Iodine; Spray application,Iodine,spray,Iodine; Dip application,Iodine,dip,Y; Separately,Y,No answer,Freestall,Sand,2 times/day or more often,Well water,N/A,N/A,0-24h,N/A,Y; Manually,N,N,N,N,N,N,"12,000 gallons; 2 bulk tanks",Laundered; No,Laundered,"Once a milking, every 5 hours",NA
817,4,8,STSE,0,0,0,8-Apr,4,8,1.944241119,1.856090927,13.1953646,10.32308948,13.54716358,0.06511867,76.34117647,1.858823529,57.64705882,91.23529412,76.76923077,0.018235294,TRUE,4,Farm 04,10/13/2016,6:12pm,2,2,1,1,1,2,1,1,2,2,1.5,Free,Good,Good,not_applicable,10,8,3/19/2016,3:00/no answer,Bailee,Nico DeBoer,1550,no answer,2 times,Normal,I; Clipswitch,intermediate,Y; Flamed,yes,alfalfa; corn silage; corn; DDG; flaxseed; soy bean mill,Y,N,Iodine; Other: Foam application,Iodine,foam,2-Bromo 2-Nitropropane; Other: Foam application,2-Bromo 2-Nitropropane,foam,Y; Last,Y,No answer,Freestall,Sand,2 times/day or more often,Well water,N/A,N/A,0-24h,N/A,Y; Manually,N,N,N,N,N,N,"20,000 gallons; 3 bulk tanks",Laundered; No,Laundered,"Every group, every 2-3 hours",NA
818,6,8,STSE,0,0,0,8-Jun,6,8,1.486574842,2.728578908,9.334523734,9.717436464,10.12713304,0.002182179,66.52380952,3.128571429,60.33333333,86.85714286,74.05882353,0.00047619,TRUE,6,Farm 06,10/13/2016,11:20pm,2,2,2,2,2,3,3,2,3,2,2.3,Free,Good,Good,not_applicable,10,8,3/19/2016,9:45/no answer,Bailee,Heath Hogan,251,82 lbs/day,2 times,Normal,N,no,N,no,green chop; corn silage; alfalfa; coastal; wet cotton seed; hull; corn; hominy; brewer's grain; canola; mineral package; ammoniated gas hay,I,N,Peroxide; Dip application,Peroxide,dip,Iodine; Dip application,Iodine,dip,Y; Last,Y,No answer,Freestall,Sand,1 time/day; Flushed 3 times,Well water,N/A,N/A,0-24h,N/A,I; Between 3 daily milkings; Manually,N,N,N,N,N,N,6000 gallons; 2 bulk tanks,Laundered; Yes,Laundered,"Once a milking, every 4 hours",NA
819,7,8,STSE,0,0,0,8-Jul,7,8,1.486574842,2.728578908,9.334523734,9.717436464,10.12713304,0.002182179,66.52380952,3.128571429,60.33333333,86.85714286,74.05882353,0.00047619,TRUE,7,Farm 07,10/13/2016,11:48pm,4,4,4,4,4,4,4,4,4,4,4,Free,Good,Good,not_applicable,10,8,3/19/2016,9:00/no answer,Bailee,Ronnie West,380,57 lbs/day,2 times,Normal,N,no,N,no,soy bean mill; cotton seed hull; corn; corn silage; wheat silage; brewers grain; mineral concentrate,I,N,Iodine; Spray application,Iodine,spray,Iodine; Spray application,Iodine,spray,N; get rid of them,N,No answer,Freestall,Sand,1 time/day,Well water,N/A,N/A,0-24h,N/A,Y; Manually,N,N,N,N,N,N,2750 lbs; 1 bulk tank,Paper; No,Paper,Every 6 hours,NA
820,9,8,STSE,0,0,0,8-Sep,9,8,0.689029684,6.966757803,8.802056037,8.24043457,11.35781669,0,78.71428571,8.928571429,13.14285714,90.28571429,47,0,FALSE,9,Farm 09,10/15/2016,3:50pm,4,3,3,3,4,4,3,3,4,4,3.5,Free,Good,Good,not_applicable,10,8,3/16/2016,9:15 am/10:06 am,Bailee,Arjan Van Dasselaar,1280,"22,000 lbs",2 times,Normal,N,no,N,no,alfalfa; canola; distillers corn; soy hull pallets; corn silage,Y,N,Prep & wash lactic acid; Ultimate P.D. concentration; Cynergy hepatonic acid; Dip application,Prep & wash lactic acid\Ultimate P.D. concentration\Cynergy hepatonic acid,dip,Aztec Gold lactic acid; Sodium Chlorite; Dip application,Aztec Gold lactic acid\Sodium Chlorite,dip,Y,Y,N,Freestall; Dry lot (exercise yard),Sand,2 times/day or more often,Well water,3,1,0-24h,>72h,Y; Manually,N,N,N,N,N,N,"100,000 lbs; 2 bulk trucks",Laundered; no answer,Laundered,Every 3 hours; Halfway through milking,NA
821,10,8,STSE,0,0,0,8-Oct,10,8,4.203807798,3.692966287,21,0.447213595,NA,0,64.38,4.74,63,99.8,99,0,FALSE,10,Farm 10,10/14/2016,3:30pm,3,3,3,4,3,2,2,2,3,4,2.9,non-Free,not_applicable,not_applicable,Yes,10,8,3/18/2016,10:00 am/no answer,Bailee,Tom Ferria,1800,60 lbs/day,intermediate,Normal,N,no,Y; Flamed,yes,corn silage; cotton seed; corn; soy bean mill; corn gluten; alfalfa,Y,Y,Chlorine dioxide; Spray application,Chlorine dioxide,spray,Remain Gold Bronopol; Dip application,Remain Gold Bronopol,dip,Y; Separately,Y,Y,Dry Lot (open),N/A,N/A,Well water,7,6,0-24h,No answer,Y; Manually,Y,Y,N,N,N,N,"12,000 gallons; 2 bulk tanks",Paper; No,Paper,"Every pen, 45 minutes",NA
822,11,8,STSE,0,0,0,8-Nov,11,8,4.203807798,3.692966287,21,0.447213595,NA,0,64.38,4.74,63,99.8,99,0,FALSE,11,Farm 11,10/14/2016,4:05pm,4,4,4,4,4,4,4,4,4,4,4,non-Free,not_applicable,not_applicable,Yes,10,8,3/18/2016,11:45/no answer,Bailee,Tom Ferria,1800,60 lbs/day,intermediate,Normal,N,no,Y; Flamed,yes,corn silage; cotton seed; corn; soy bean mill; corn gluten; alfalfa,Y,N,Chlorine dioxide; Spray application,Chlorine dioxide,spray,Iodine; Other: Foam application,Iodine,foam,Y; Separately,Y,Y,Dry Lot (open),N/A,N/A,Well water,7,6,0-24h,No answer,Y; Manually,Y,Y,N,N,N,N,"12,000 gallons; 2 bulk tanks",Paper; No,Paper,"Every pen, 45 minutes",NA
823,12,8,STSE,0,0,0,8-Dec,12,8,1.480259974,1.922093766,8.401127744,4.449850513,8.729806631,0.531935669,71.23157895,2.6,51.36842105,95.36842105,76.26666667,0.69,TRUE,12,Farm 12,10/14/2016,10:05am,4,4,4,4,4,4,4,4,4,3,3.9,Free,Good,Good,not_applicable,10,8,3/19/2016,6:15/no answer,Bailee,Misael Tiscareno,3600,73 lbs/day,2 times,Normal,I,intermediate,Y; Flamed,yes,corn silage; corn; alfalfa; cotton seed; protein mix; wheat silage,Y,Y,Chlorine dioxide; Dip application,Chlorine dioxide,dip,Iodine; Dip application,Iodine,dip,Y,Y,No answer,Freestall (some open lots),Sand (fresh and recycled); Dried; Never discarded,2 times/day or more often; flushed 6 times/day,Well water,N/A,N/A,0-24h,N/A,Y; Manually and automatically,Y,Y,N,N,N,N,"18,000 gallons; 3 bulk tanks",Laundered; No,Laundered,"Every 800 cows, 2.5 hours",NA
824,14,8,STSE,0,0,0,14-8,14,8,1.30184684,1.861113803,8.468428763,4.006488244,8.96051615,0.475271852,70.96363636,2.522727273,53,95.36363636,77.05555556,0.575,TRUE,14,Farm 14,10/14/2016,9:00am,3,3,4,4,3,4,4,4,3,3,3.5,Free,Good,Good,not_applicable,10,8,3/19/2016,8:00/no answer,Bailee,Pete Schouten,720,76-80 lbs/day,3 times,Normal,I,intermediate,N,no,corn; beet pulp; canola; cottonseed; corn silage; alfalfa; coastal; green chop,Y,N,Iodine glycerine; Other: Foam application,Iodine glycerine,foam,Iodine glycerine; Other: Foam application,Iodine glycerine,foam,Y,Y,No answer,Freestall (95%),Sand,1 time/day,Well water,N/A,N/A,0-24h,N/A,Y; Manually,Y,Y,N,N,N,N,6000 gallons; 2 bulk tanks,Laundered; Yes,Laundered,"Every shift, every 6 hours",NA
825,15,8,STSE,0,0,0,15-8,15,8,1.36469079,3.868985347,12.09289441,2.627691364,1.732050808,0,66.77142857,13.12857143,31.28571429,93.71428571,70,0,FALSE,15,Farm 15,10/14/2016,10:30pm,3,3,3,2,2,3,2,4,2,3,2.7,non-Free,not_applicable,not_applicable,No,10,8,3/16/2016,1:15 pm/1:48 pm,Bailee,Jason Veldi,2500,70-72 lbs/day,2 times,Normal,N,no,N,no,corn silage; alfalfa; corn gluten; gluten corn; basic mineral; sorghum silage,Y,N,Iodine; Spray application,Iodine,spray,Iodine; Dip application,Iodine,dip,Y; Last,Y,Y,Dry Lot,N/A,N/A,Well water,3.5,3,0-24h,2 weeks ago,Y; Automatically,Y,Y,N,N,N,N,"112,000 lbs; 2 bulk tanks",Laundered; No,Laundered,"After every pen, 2 filters 350 cows, 1 hr 20 mins",NA
826,17,8,STSE,0,0,0,17-8,17,8,0.855569985,4.479955357,12.17784874,4.795831523,0.707106781,0,65.38,10.9,37.6,95,81.5,0,FALSE,17,Farm 17,10/14/2016,5:52pm,3,3,4,4,4,4,3,3,4,4,3.6,non-Free,not_applicable,not_applicable,No,10,8,3/16/2016,4:30 pm/no answer,Bailee,Matthew Beckerink,1700,85 lbs/day,3 times,Normal,N,no,N,no,corn silage; sorghum silage; triticale silage; sugar beets; corn; DDG; canola; cotton seed; corn gluten,Y,Y,Chlorine dioxide; Dip application,Chlorine dioxide,dip,Iodine; Dip application,Iodine,dip,Y,Y,No answer,Dry Lot,N/A,N/A,Well water,6,6,0-24h,2 weeks ago,Y; Automatically,Y,Y,N,N,N,N,"12,000 gallons; 2 bulk tanks",None,None,"Every group, every 1 hour",NA
827,21,8,STSE,0,0,0,21-8,21,8,1.731535557,3.58859947,9.87124807,3.821598538,6.132907476,0.006126864,66.43076923,9.573076923,46.80769231,92.26923077,75.77272727,0.001538462,TRUE,21,Farm 21,10/14/2016,9:55pm,3,4,4,4,3,4,4,3,3,4,3.6,Free,Good,Good,not_applicable,10,8,3/15/2016,4:40 pm/no answer,Bailee,Mick Schouten,4000,"22,000 lbs",intermediate,Normal,Y,yes,N,no,TMR corn silage; wheat silage; alfalfa; cotton seed; corn; soy bean mill; corn; gluten,Y,N,Chlorine/water; Dip application,Chlorine/water,dip,Iodine; Dip application,Iodine,dip,Y; Separately,Y,No answer,Freestall (80%); Dry Lot (20%),Sand; From dried basins; No answer,2 times/day or more often,Ogalala aquifer wells,7,1,0-24h,No answer,Y; Automatically,Y,Y,N,N,N,N,"200,000 lbs; 4 bulk tanks",Laundered (not dried); Yes,Laundered,1.5-2 hours,NA
